user_id,file_id,sentence_length,rating,pred_rating
29,4,17.28,2,2.01
30,4,17.62,4,2.23
31,4,14.0,1,2.37
32,4,16.0,1,1.82
33,4,16.3,5,3.97
34,4,19.0,2,2.24
35,4,13.2,1,1.4
36,4,18.5,1,1.35
37,4,15.0,5,2.11
38,4,16.25,5,3.14
39,4,13.0,1,1.41
40,4,22.95,5,3.48
41,4,18.0,5,2.99
42,4,15.54,4,2.05
43,4,13.31,2,2.71
44,4,27.33,4,2.52
45,4,18.33,2,3.15
46,4,8.0,2,1.77
47,4,16.0,1,1.82
48,4,19.43,5,3.77
49,4,24.29,2,2.94
50,4,15.33,1,1.71
51,4,12.0,4,4.08
52,4,17.69,1,2.11
53,4,22.0,1,1.78
54,4,16.5,3,2.16
55,4,9.1,5,3.98
56,4,13.61,2,2.33
57,4,15.0,1,2.11
58,4,22.0,1,1.78
59,4,15.92,2,1.82
60,4,8.56,1,1.8
61,4,16.52,5,2.8
62,4,16.0,1,1.82
63,4,14.5,5,1.8
64,4,22.5,4,2.81
65,4,15.33,3,1.71
66,4,21.78,4,3.94
67,4,24.0,4,2.85
68,4,18.4,1,2.63
69,4,18.36,4,3.28
70,4,18.93,3,3.99
71,4,12.06,4,3.22
72,4,11.0,2,1.54
73,4,19.04,2,3.11
74,4,22.5,1,2.81
75,4,16.67,4,2.7
