user_id,file_id,rating,combo_5_B__perp_token_curv_lex_disc__pred,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,mean_rank,rank_entropy,curvature_z,ll_orig,mean_ll_pert,std_ll_pert,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,total_connectives,connective_entropy,connective_density_per_100w,enumeration_count
49,1,4.0,4.08,-3.2115,24.8151,0.0177,0.3194,0.7111,1331.9663,4.0749,4.8707,-3.0473,-3.528,0.0987,0.4296,8.9386,6.3205,0.8608,0.0229,147.422,48.4349,0.5968,0.2204,4.4919,3.0,-0.0,0.6928,0.0
50,1,5.0,2.52,-2.9141,18.4323,0.0195,0.3249,0.7996,1050.5973,3.5544,5.3033,-2.8771,-3.4332,0.1049,0.4056,7.6949,5.4411,0.8467,0.026,177.7778,40.857,0.6301,0.1575,4.2694,9.0,1.3516,2.5,0.0
51,1,4.0,4.08,-2.9478,19.0647,0.0522,0.3129,0.6835,1708.6709,3.9013,7.1253,-2.8378,-3.3479,0.0716,0.3475,7.1474,5.054,0.8252,0.0289,270.2748,35.1397,0.585,0.1837,4.0496,4.0,-0.0,0.9456,0.0
52,1,4.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5273,9.5784,6.7729,0.8896,0.019,81.1754,135.492,0.6207,0.2011,5.1909,4.0,0.8113,1.2121,0.0
53,1,5.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256,10.8987,7.7065,0.8939,0.0175,77.0146,105.9383,0.6416,0.1858,4.907,6.0,1.4591,1.3953,0.0
54,1,5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3901,10.5257,7.4428,0.8572,0.0217,71.7003,124.641,0.5493,0.1937,5.1786,22.0,0.2668,3.022,1.0
55,1,4.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395,11.1772,7.9035,0.8454,0.0221,82.294,79.6703,0.5163,0.1875,5.0009,16.0,1.0613,1.476,0.0
56,1,4.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894,9.5154,6.7284,0.8796,0.0203,117.4379,107.3774,0.6324,0.2108,5.1058,3.0,0.9183,0.7937,0.0
57,1,4.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,10.3011,7.284,0.857,0.0219,128.1016,102.4437,0.6,0.163,5.0349,40.0,0.5501,5.8224,0.0
58,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,8.2549,5.8371,0.8568,0.0242,147.6304,52.49,0.6352,0.1384,4.6119,5.0,1.5219,1.3477,0.0
59,1,3.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,6.7685,4.7861,0.7895,0.0319,281.6958,61.21,0.4728,0.1902,4.3018,1.0,-0.0,0.1353,0.0
