user_id,file_id,rating,combo_11_E__add_perp_token_ner_disc__pred,cosine_sim,norm_gap,nli_mean_entail,nli_mean_contra,content_vs_function_ratio,pos_entropy,verbs_per_sentence,flesch_reading_ease,fk_grade_level,ttr,mtld,yules_k,avg_tree_depth,avg_dep_distance,entity_continuity,role_transitions,vader_compound,tb_subjectivity,sentence_length,avg_logprob,ppl,proportion_top100,entity_density,entity_label_entropy,connective_entropy,connective_density_per_100w
41,0,5.0,4.62,0.0,0.0,0.0,0.0,7.3,2.8273,3.6364,13.3137,26.6392,0.4843,117.5495,65.3108,6.1818,4.9345,0.438,0.1636,0.9545,0.5454,413.0,0.0,0.0,0.0,0.107,2.1541,-0.0,0.9685
42,0,5.0,3.95,0.0,0.0,0.0,0.0,6.0896,2.961,3.625,25.3779,23.9111,0.3892,47.8914,128.4687,4.875,3.1418,0.3333,0.1848,0.9965,0.5479,573.0,0.0,0.0,0.0,0.2319,2.0838,1.0,1.0471
43,0,5.0,4.45,0.0,0.0,0.0,0.0,4.4154,2.8451,3.4444,24.2819,21.2292,0.4587,67.0634,114.2044,6.6667,3.3017,0.4608,0.2014,0.988,0.6231,375.0,0.0,0.0,0.0,0.1661,2.0074,0.8113,1.0667
44,0,2.0,3.21,0.0,0.0,0.0,0.0,7.122,2.8504,1.9,41.5059,14.4712,0.5125,117.8746,77.0405,4.6,2.8407,0.4159,0.2,0.9884,0.568,361.0,0.0,0.0,0.0,0.1644,2.1544,0.7219,1.385
45,0,2.0,3.95,0.0,0.0,0.0,0.0,7.2982,2.803,4.1111,-25.0767,42.283,0.3602,44.626,185.4183,6.0,4.2996,0.4953,0.1484,0.9941,0.5117,497.0,0.0,0.0,0.0,0.2397,2.0522,0.65,1.2072
46,0,5.0,4.05,0.0,0.0,0.0,0.0,9.4848,2.7198,3.7143,-21.3549,40.7495,0.4708,61.8574,100.2018,5.5714,3.7982,0.451,0.0765,0.9896,0.489,342.0,0.0,0.0,0.0,0.219,2.0637,0.971,1.462
47,0,4.0,4.13,0.0,0.0,0.0,0.0,3.6104,3.0658,1.7907,44.0839,12.5759,0.3923,110.1629,72.8035,5.4419,3.0893,0.46,0.2491,0.9945,0.588,757.0,0.0,0.0,0.0,0.1019,2.2556,0.455,3.5667
48,0,4.0,3.81,0.6527,0.0,0.0127,0.5422,4.3774,3.0237,1.8824,37.0837,15.4845,0.7127,244.9125,38.6116,4.8824,2.7007,0.2033,0.32,0.8244,0.4286,275.0,-3.4505,31.5146,0.2483,0.0556,2.9363,0.5033,3.2727
49,0,5.0,4.65,0.0,0.0,0.0,0.0,6.2,2.88,3.8462,15.1911,26.129,0.4602,92.1251,87.676,5.2308,3.2953,0.4483,0.2048,0.9931,0.4892,415.0,0.0,0.0,0.0,0.1689,1.9306,-0.0,0.9639
50,0,4.0,4.05,0.0,0.0,0.0,0.0,5.7213,2.8468,2.6667,31.9102,19.7393,0.5459,140.0296,64.1344,5.5833,4.4403,0.3769,0.1579,0.9929,0.4531,370.0,0.0,0.0,0.0,0.1264,2.0303,-0.0,0.8108
51,0,4.0,4.05,0.0,0.0,0.0,0.0,4.3117,2.8815,2.0625,23.8805,20.5557,0.3426,55.5087,144.4998,6.625,3.3683,0.4624,0.1765,0.9942,0.5081,470.0,0.0,0.0,0.0,0.1712,2.248,0.8113,1.7021
52,0,4.0,4.01,0.7658,0.0,0.0312,0.2434,4.3621,3.0016,1.3421,57.0825,7.4623,0.7129,317.0,33.8345,3.9474,2.6953,0.2342,0.4615,0.9858,0.4644,317.0,-3.7661,43.2105,0.225,0.0517,2.4176,1.2516,1.8927
53,0,5.0,4.88,0.0,0.0,0.0,0.0,9.3171,2.7707,3.1,-50.6624,51.3792,0.5221,105.5123,77.4827,6.5,3.6271,0.3667,0.142,0.9921,0.4053,429.0,0.0,0.0,0.0,0.2151,2.1356,1.4591,1.3986
54,0,5.0,4.74,0.0,0.0,0.0,0.0,3.1923,3.0814,2.0244,49.1348,11.4387,0.4127,111.5828,84.269,4.8049,2.9628,0.4114,0.3532,0.9991,0.4997,710.0,0.0,0.0,0.0,0.1275,2.0993,1.3249,3.3803
55,0,5.0,4.4,0.0,0.0,0.0,0.0,7.2108,2.7055,2.9388,-45.1971,48.2154,0.2532,128.5341,80.0316,5.6735,3.2858,0.6343,0.177,0.9942,0.439,1548.0,0.0,0.0,0.0,0.147,1.9625,1.0958,0.7106
56,0,5.0,4.31,0.0,0.0,0.0,0.0,3.7397,3.0422,1.3929,45.1369,11.1745,0.6722,230.6247,50.463,4.0714,2.4212,0.2761,0.3378,0.9723,0.4707,360.0,0.0,0.0,0.0,0.0784,2.652,0.3373,4.4444
57,0,5.0,4.34,0.0,0.0,0.0,0.0,6.3585,2.9269,3.5833,37.6724,17.0724,0.4964,94.1514,84.9847,6.0833,2.6166,0.4088,0.2057,0.9819,0.4521,419.0,0.0,0.0,0.0,0.1807,2.1566,0.971,1.1933
58,0,2.0,2.33,0.0,0.0,0.0,0.0,11.4643,2.6433,4.5714,-223.9412,118.2777,0.4286,52.49,147.6304,5.7143,5.1879,0.4184,0.0471,0.9726,0.4522,371.0,0.0,0.0,0.0,0.1444,1.6736,1.5219,1.3477
